id	cog	cog_name	ko	ko_name	pfams	pfam_names
OG0000015	COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	NA	No Annotation	PF00483.26,PF08645.14,PF00571.31,PF13242.9,PF12804.10,PF13419.9,PF02894.20,PF20202.1	NTP_transferase,PNK3P,CBS,Hydrolase_like,NTP_transf_3,HAD_2,GFO_IDH_MocA_C,DUF6564
OG0000016	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	K01895	acetyl-CoA synthetase [EC:6.2.1.1]	PF00501.31,PF13193.9,PF16177.8	AMP-binding,AMP-binding_C,ACAS_N
OG0000017	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	NA	No Annotation	PF01425.24	Amidase
OG0000018	COG0776	DNA-binding chromatin protein HU or IHF, alpha or beta variants	NA	No Annotation	PF00216.24	Bac_DNA_binding
OG0000019	COG0410	ABC-type branched-chain amino acid transport system, ATPase component LivF	K01996	branched-chain amino acid transport system ATP-binding protein	PF00005.30	ABC_tran
OG0000020	COG0411	ABC-type branched-chain amino acid transport system, ATPase component LivG	K01995	branched-chain amino acid transport system ATP-binding protein	PF00005.30,PF12399.11	ABC_tran,BCA_ABC_TP_C
OG0000021	COG5470	Uncharacterized conserved protein, DUF1330 family	NA	No Annotation	PF07045.14	DUF1330
OG0000022	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	PF14833.9,PF03446.18,PF12766.10	NAD_binding_11,NAD_binding_2,Pyridox_oxase_2
OG0000023	COG4176	ABC-type proline/glycine betaine transport system, permease component	K02001	glycine betaine/proline transport system permease protein	PF00528.25,PF10947.11	BPD_transp_1,DUF2628
OG0000024	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	K00574	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	PF02353.23,PF13489.9,PF13649.9,PF13847.9,PF08241.15,PF08242.15	CMAS,Methyltransf_23,Methyltransf_25,Methyltransf_31,Methyltransf_11,Methyltransf_12
OG0000025	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH/undecaprenyl monophosphate-sugar esterase UshA/YqjL	NA	No Annotation	PF00561.23,PF12697.10,PF12146.11,PF03096.17	Abhydrolase_1,Abhydrolase_6,Hydrolase_4,Ndr
OG0000026	COG0141	Histidinol dehydrogenase	K15509	sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]	PF00815.23	Histidinol_dh
OG0000027	COG4968	Type IV pilus minor pilin/pseudopilin PilE	NA	No Annotation	PF07963.15,PF16732.8	N_methyl,ComP_DUS
OG0000028	COG1304	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	NA	No Annotation	PF01070.21	FMN_dh
OG0000029	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	PF00171.25	Aldedh
OG0000030	COG0512	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)	K01658	anthranilate synthase component II [EC:4.1.3.27]	PF00117.31,PF07722.16	GATase,Peptidase_C26
OG0000031	COG0225	Peptide methionine sulfoxide reductase MsrA	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	PF01625.24	PMSR
OG0000032	COG1132	ABC-type multidrug and LPS transport system, ATPase and permease component MsbA	NA	No Annotation	PF00005.30,PF00664.26,PF00027.32	ABC_tran,ABC_membrane,cNMP_binding
OG0000033	COG4175	ABC-type proline/glycine betaine transport system, ATPase component	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	PF00005.30,PF00571.31	ABC_tran,CBS
OG0000034	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component	NA	No Annotation	PF04290.15	DctQ
OG0000035	COG0404	Glycine cleavage system protein T (aminomethyltransferase)	K00302	sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]	PF01571.24,PF17806.4,PF13510.9,PF08669.14,PF07992.17,PF12831.10,PF13738.9,PF13450.9,PF00890.27	GCV_T,SO_alpha_A3,Fer2_4,GCV_T_C,Pyr_redox_2,FAD_oxidored,Pyr_redox_3,NAD_binding_8,FAD_binding_2
OG0000036	COG0665	Glycine/D-amino acid oxidase (deaminating)	K00303	sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]	PF01266.27	DAO
OG0000037	COG0697	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	NA	No Annotation	PF00892.23	EamA
OG0000038	COG1278	Cold shock protein, CspA family	K03704	cold shock protein	PF00313.25	CSD
OG0000039	COG1004	UDP-glucose 6-dehydrogenase	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	PF00984.22,PF03721.17,PF03720.18,PF00106.28	UDPG_MGDP_dh,UDPG_MGDP_dh_N,UDPG_MGDP_dh_C,adh_short
OG0000040	COG0004	Ammonia channel protein AmtB	K03320	ammonium transporter, Amt family	PF00909.24,PF07228.15	Ammonium_transp,SpoIIE
OG0000041	COG1210	UTP-glucose-1-phosphate uridylyltransferase	NA	No Annotation	PF00483.26,PF00571.31,PF12804.10	NTP_transferase,CBS,NTP_transf_3
OG0000042	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent	NA	No Annotation	PF02668.19,PF06155.15	TauD,GBBH-like_N
OG0000043	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	NA	No Annotation	PF08241.15,PF13489.9,PF13847.9,PF13649.9,PF08242.15,PF08484.14	Methyltransf_11,Methyltransf_23,Methyltransf_31,Methyltransf_25,Methyltransf_12,Methyltransf_14
OG0000044	COG0229	Peptide methionine sulfoxide reductase MsrB	NA	No Annotation	PF01641.21	SelR
OG0000045	COG2076	Multidrug transporter EmrE and related cation transporters	NA	No Annotation	PF00893.22	Multi_Drug_Res
OG0000046	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	NA	No Annotation	PF00171.25,PF00160.24	Aldedh,Pro_isomerase
OG0000047	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	PF02775.24,PF00205.25,PF02776.21	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
OG0000048	COG0516	IMP dehydrogenase/GMP reductase	K00088	IMP dehydrogenase [EC:1.1.1.205]	PF00478.28,PF00571.31,PF01070.21,PF03060.18,PF01645.20	IMPDH,CBS,FMN_dh,NMO,Glu_synthase
OG0000049	COG1894	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)	NA	No Annotation	PF10589.12,PF01512.20,PF10531.12,PF01257.22	NADH_4Fe-4S,Complex1_51K,SLBB,2Fe-2S_thioredx
OG0000050	COG2303	Choline dehydrogenase or related flavoprotein	NA	No Annotation	PF05199.16,PF00732.22	GMC_oxred_C,GMC_oxred_N
OG0000051	COG2089	Sialic acid synthase SpsE, contains C-terminal SAF domain	NA	No Annotation	PF03102.17,PF08666.15,PF07883.14,PF13450.9,PF01261.27,PF02348.22,PF01593.27,PF13412.9	NeuB,SAF,Cupin_2,NAD_binding_8,AP_endonuc_2,CTP_transf_3,Amino_oxidase,HTH_24
OG0000052	NA	No Annotation	NA	No Annotation	PF13759.9,PF00515.31,PF13414.9,PF13424.9,PF13181.9	2OG-FeII_Oxy_5,TPR_1,TPR_11,TPR_12,TPR_8
OG0000053	COG0107	Imidazole glycerol phosphate synthase subunit HisF	K02500	imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	PF00977.24	His_biosynth
OG0000054	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	K02026	multiple sugar transport system permease protein	PF00528.25	BPD_transp_1
OG0000055	NA	No Annotation	NA	No Annotation	PF05118.18	Asp_Arg_Hydrox
OG0000056	COG2133	Glucose/arabinose dehydrogenase, beta-propeller fold	K21430	aldose sugar dehydrogenase [EC:1.1.5.-]	PF07995.14	GSDH
OG0000057	COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	K02501	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	PF00117.31	GATase
OG0000058	COG0021	Transketolase	K00615	transketolase [EC:2.2.1.1]	PF00456.24,PF02779.27,PF02780.23,PF00044.27,PF02800.23,PF01812.23,PF04383.16,PF13292.9	Transketolase_N,Transket_pyr,Transketolase_C,Gp_dh_N,Gp_dh_C,5-FTHF_cyc-lig,KilA-N,DXP_synthase_N
OG0000059	COG1024	Enoyl-CoA hydratase/carnithine racemase	NA	No Annotation	PF00378.23	ECH_1
OG0000060	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	K00344	NADPH:quinone reductase [EC:1.6.5.5]	PF00107.29,PF08240.15,PF16884.8,PF13602.9	ADH_zinc_N,ADH_N,ADH_N_2,ADH_zinc_N_2
OG0000061	COG0006	Xaa-Pro aminopeptidase	K15783	ectoine hydrolase [EC:3.5.4.44]	PF00557.27,PF01321.21	Peptidase_M24,Creatinase_N
OG0000062	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	K01687	dihydroxy-acid dehydratase [EC:4.2.1.9]	PF00920.24	ILVD_EDD
OG0000063	COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	K11175	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	PF00551.22,PF02911.21,PF18216.4,PF00483.26,PF03754.16,PF13302.10	Formyl_trans_N,Formyl_trans_C,N_formyltrans_C,NTP_transferase,At2g31720-like,Acetyltransf_3
OG0000064	COG3333	TctA family transporter	K07793	putative tricarboxylic transport membrane protein	PF01970.19	TctA
OG0000065	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	NA	No Annotation	PF00248.24	Aldo_ket_red
OG0000066	COG1154	Deoxyxylulose-5-phosphate synthase	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	PF02779.27,PF02780.23,PF13292.9	Transket_pyr,Transketolase_C,DXP_synthase_N
OG0000067	COG1212	CMP-2-keto-3-deoxyoctulosonic acid synthetase	K00979	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	PF02348.22	CTP_transf_3
OG0000068	COG0265	Periplasmic serine protease DegP/DegQ, contain C-terminal PDZ domain	K04771	serine protease Do [EC:3.4.21.107]	PF13365.9,PF13180.9,PF02163.25,PF02493.23,PF17820.4,PF13181.9,PF00595.27,PF00089.29,PF13176.9,PF13431.9	Trypsin_2,PDZ_2,Peptidase_M50,MORN,PDZ_6,TPR_8,PDZ,Trypsin,TPR_7,TPR_17
OG0000069	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	K20034	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]	PF00501.31,PF13193.9	AMP-binding,AMP-binding_C
OG0000070	COG0607	Rhodanese-related sulfurtransferase	NA	No Annotation	PF00581.23	Rhodanese
OG0000071	COG1454	Alcohol dehydrogenase, class IV	NA	No Annotation	PF00465.22	Fe-ADH
OG0000072	NA	No Annotation	NA	No Annotation	PF00685.30,PF00583.28,PF13469.9	Sulfotransfer_1,Acetyltransf_1,Sulfotransfer_3
OG0000073	COG3917	2-hydroxychromene-2-carboxylate isomerase	NA	No Annotation	PF01323.23	DSBA
OG0000074	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	PF01063.22	Aminotran_4
OG0000075	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	PF01209.21,PF08241.15,PF13649.9,PF13489.9,PF13847.9	Ubie_methyltran,Methyltransf_11,Methyltransf_25,Methyltransf_23,Methyltransf_31
OG0000076	COG0045	Succinyl-CoA synthetase, beta subunit	K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	PF00549.22,PF08442.13	Ligase_CoA,ATP-grasp_2
OG0000077	COG1280	Threonine/homoserine/homoserine lactone efflux protein	K11249	cysteine/O-acetylserine efflux protein	PF01810.21	LysE
OG0000078	COG0074	Succinyl-CoA synthetase, alpha subunit	K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	PF00549.22,PF02629.22	Ligase_CoA,CoA_binding
OG0000079	COG0730	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family	K07090	uncharacterized protein	PF01925.22	TauE
OG0000080	COG2873	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	PF01053.23,PF00571.31,PF00380.22,PF00478.28	Cys_Met_Meta_PP,CBS,Ribosomal_S9,IMPDH
OG0000081	COG0438	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	NA	No Annotation	PF00534.23,PF13439.9,PF13477.9	Glycos_transf_1,Glyco_transf_4,Glyco_trans_4_2
OG0000082	COG0223	Methionyl-tRNA formyltransferase	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	PF00551.22,PF02911.21	Formyl_trans_N,Formyl_trans_C
OG0000083	COG2513	2-Methylisocitrate lyase and related enzymes, PEP mutase family	K03417	methylisocitrate lyase [EC:4.1.3.30]	PF13714.9	PEP_mutase
OG0000084	COG4177	ABC-type branched-chain amino acid transport system, permease component	NA	No Annotation	PF02653.19,PF11862.11	BPD_transp_2,DUF3382
OG0000085	COG0183	Acetyl-CoA acetyltransferase	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	PF00108.26,PF02803.21	Thiolase_N,Thiolase_C
OG0000086	COG0187	DNA gyrase/topoisomerase IV, subunit B	NA	No Annotation	PF00986.24,PF01751.25,PF00204.28,PF02518.29	DNA_gyraseB_C,Toprim,DNA_gyraseB,HATPase_c
OG0000087	COG0859	ADP-heptose:LPS heptosyltransferase	NA	No Annotation	PF01075.20	Glyco_transf_9
OG0000088	COG0559	Branched-chain amino acid ABC-type transport system, permease component	K01997	branched-chain amino acid transport system permease protein	PF02653.19,PF07681.15	BPD_transp_2,DoxX
OG0000089	NA	No Annotation	K00737	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]	PF04724.16	Glyco_transf_17
OG0000090	COG0520	Selenocysteine lyase/Cysteine desulfurase	K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	PF00266.22,PF01458.20	Aminotran_5,SUFBD
OG0000091	COG0029	Aspartate oxidase	K00239	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	PF00890.27,PF02910.23	FAD_binding_2,Succ_DH_flav_C
OG0000092	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	K00822	beta-alanine--pyruvate transaminase [EC:2.6.1.18]	PF00202.24	Aminotran_3
OG0000093	COG0842	ABC-type multidrug transport system, permease component	NA	No Annotation	PF01061.27	ABC2_membrane
OG0000094	COG0486	tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE	K03650	tRNA modification GTPase [EC:3.6.-.-]	PF01926.26,PF12631.10,PF10396.12,PF07650.20,PF04280.18	MMR_HSR1,MnmE_helical,TrmE_N,KH_2,Tim44
OG0000095	COG0424	7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily	NA	No Annotation	PF02545.17	Maf
OG0000096	COG4770	Acetyl/propionyl-CoA carboxylase, alpha subunit	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	PF02785.22,PF02786.20,PF00289.25,PF00364.25,PF02682.19	Biotin_carb_C,CPSase_L_D2,Biotin_carb_N,Biotin_lipoyl,CT_C_D
OG0000097	COG1131	Ribosome-associated ATPase or ATPase component of an ABC-type multidrug transport system	K01990	ABC-2 type transport system ATP-binding protein	PF00005.30,PF00664.26,PF13732.9	ABC_tran,ABC_membrane,DUF4162
OG0000098	COG4625	Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain	NA	No Annotation	PF03797.22,PF13205.9,PF13385.9,PF10282.12,PF00754.28,PF00059.24,PF03382.17,PF19078.3,PF07676.15,PF12810.10	Autotransporter,Big_5,Laminin_G_3,Lactonase,F5_F8_type_C,Lectin_C,DUF285,Big_12,PD40,Gly_rich
OG0000099	COG0443	Molecular chaperone DnaK (HSP70)	K04043	molecular chaperone DnaK	PF00012.23	HSP70
OG0000100	COG2040	Homocysteine/selenocysteine methylase (S-methylmethionine-dependent)	NA	No Annotation	PF02574.19	S-methyl_trans
OG0000101	COG0841	Multidrug efflux pump subunit AcrB	NA	No Annotation	PF00873.22	ACR_tran
OG0000102	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	NA	No Annotation	PF07021.15,PF13489.9,PF13847.9,PF08241.15,PF13649.9	MetW,Methyltransf_23,Methyltransf_31,Methyltransf_11,Methyltransf_25
OG0000103	COG0188	DNA gyrase/topoisomerase IV, subunit A	K02469	DNA gyrase subunit A [EC:5.6.2.2]	PF03989.16,PF00521.23	DNA_gyraseA_C,DNA_topoisoIV
OG0000104	COG0769	UDP-N-acetylmuramyl tripeptide synthase	K15792	MurE/MurF fusion protein [EC:6.3.2.13 6.3.2.10]	PF08245.15,PF02875.24,PF01225.28	Mur_ligase_M,Mur_ligase_C,Mur_ligase
OG0000105	NA	No Annotation	NA	No Annotation	PF13717.9,PF19769.2	zinc_ribbon_4,CPxCG_zf
OG0000106	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	K03089	RNA polymerase sigma-32 factor	PF04545.19,PF04542.17,PF00140.23	Sigma70_r4,Sigma70_r2,Sigma70_r1_2
OG0000107	COG0079	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	PF00155.24,PF02153.20,PF16123.8,PF20463.1	Aminotran_1_2,PDH_N,HAGH_C,PDH_C
OG0000108	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	NA	No Annotation	PF00109.29,PF02801.25	ketoacyl-synt,Ketoacyl-synt_C
OG0000109	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	NA	No Annotation	PF00132.27,PF14602.9,PF12804.10,PF00551.22,PF00483.26,PF17836.4	Hexapep,Hexapep_2,NTP_transf_3,Formyl_trans_N,NTP_transferase,PglD_N
OG0000110	COG0438	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	NA	No Annotation	PF00534.23,PF13439.9,PF13477.9	Glycos_transf_1,Glyco_transf_4,Glyco_trans_4_2
OG0000111	COG0863	DNA modification adenine methylase	K13581	modification methylase [EC:2.1.1.72]	PF01555.21,PF18755.4,PF01844.26,PF04471.15	N6_N4_Mtase,RAMA,HNH,Mrr_cat
OG0000112	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1	K02274	cytochrome c oxidase subunit I [EC:7.1.1.9]	PF00115.23	COX1
OG0000113	COG1089	GDP-D-mannose dehydratase	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	PF16363.8,PF01370.24,PF05721.16	GDP_Man_Dehyd,Epimerase,PhyH
OG0000114	COG0169	Shikimate 5-dehydrogenase	K00014	shikimate dehydrogenase [EC:1.1.1.25]	PF08501.14,PF01488.23,PF18317.4	Shikimate_dh_N,Shikimate_DH,SDH_C
OG0000115	COG0678	Peroxiredoxin	NA	No Annotation	PF08534.13	Redoxin
OG0000116	COG0764	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	PF07977.16	FabA
OG0000117	COG0723	Rieske Fe-S protein	K00411	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	PF00355.29,PF10399.12	Rieske,UCR_Fe-S_N
OG0000118	COG0372	Citrate synthase	NA	No Annotation	PF00285.24	Citrate_synt
OG0000119	COG2236	Hypoxanthine phosphoribosyltransferase	NA	No Annotation	PF00156.30	Pribosyltran
OG0000120	COG0558	Phosphatidylglycerophosphate synthase	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	PF01066.24	CDP-OH_P_transf
OG0000121	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	NA	No Annotation	PF01370.24,PF13460.9,PF05368.16,PF04321.20,PF03435.21,PF00106.28,PF01073.22	Epimerase,NAD_binding_10,NmrA,RmlD_sub_bind,Sacchrp_dh_NADP,adh_short,3Beta_HSD
OG0000122	COG4992	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	PF00202.24	Aminotran_3
OG0000123	COG0511	Biotin carboxyl carrier protein	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein	PF00364.25	Biotin_lipoyl
OG0000124	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3	K02276	cytochrome c oxidase subunit III [EC:7.1.1.9]	PF00510.21	COX3
OG0000125	COG0810	Periplasmic protein TonB, links inner and outer membranes	NA	No Annotation	PF09851.12,PF13103.9	SHOCT,TonB_2
OG0000126	COG2885	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins	K03640	peptidoglycan-associated lipoprotein	PF00691.23	OmpA
OG0000127	COG2877	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	PF00793.23	DAHP_synth_1
OG0000128	COG0621	tRNA A37 methylthiotransferase MiaB	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	PF04055.24,PF00919.23,PF01938.23,PF01475.22	Radical_SAM,UPF0004,TRAM,FUR
OG0000129	COG0190	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	PF02882.22,PF00763.26	THF_DHG_CYH_C,THF_DHG_CYH
OG0000130	COG3118	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family	NA	No Annotation	PF00085.23,PF18406.4	Thioredoxin,DUF1281_C
OG0000131	COG0847	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	PF00929.27	RNase_T
OG0000132	COG0242	Peptide deformylase	K01462	peptide deformylase [EC:3.5.1.88]	PF01327.24	Pep_deformylase
OG0000133	COG0550	DNA topoisomerase IA	K03168	DNA topoisomerase I [EC:5.6.2.1]	PF13368.9,PF01131.23,PF01396.22,PF01751.25,PF14588.9	Toprim_C_rpt,Topoisom_bac,zf-C4_Topoisom,Toprim,YjgF_endoribonc
OG0000134	COG0653	Preprotein translocase subunit SecA	K03070	preprotein translocase subunit SecA [EC:7.4.2.8]	PF07516.16,PF07517.17,PF01043.23,PF02810.18,PF00271.34	SecA_SW,SecA_DEAD,SecA_PP_bind,SEC-C,Helicase_C
OG0000135	COG0353	Recombinational DNA repair protein RecR	K06187	recombination protein RecR	PF13662.9,PF02132.18,PF13353.9	Toprim_4,RecR,Fer4_12
OG0000136	COG0101	tRNA U38,U39,U40 pseudouridine synthase TruA	NA	No Annotation	PF01416.23	PseudoU_synth_1
OG0000137	COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	NA	No Annotation	PF00850.22	Hist_deacetyl
OG0000138	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	K01439	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	PF01546.31,PF07687.17	Peptidase_M20,M20_dimer
OG0000139	COG5342	Invasion protein IalB, involved in pathogenesis	NA	No Annotation	PF06776.15	IalB
